car_ID,symboling,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,3,std,two,convertible,rwd,front,4162.313224,-7233.800319,5857.019025,48.8,2548,four,130,3.47,2.68,9,111,5000,21,27,14628.76946
2,3,std,two,convertible,rwd,front,-917.5144094,4389.082138,-8833.036735,48.8,2548,four,130,3.47,2.68,9,111,5000,21,27,17475.15836
3,1,std,two,hatchback,rwd,front,5376.008305,4381.487607,-12107.41337,52.4,2823,six,152,2.68,3.47,9,154,5000,19,26,22406.13299
4,2,std,four,sedan,fwd,front,12384.03885,4396.98149,10387.61458,54.3,2337,four,109,3.19,3.4,10,102,5500,24,30,17898.07385
5,2,std,four,sedan,4wd,front,-1673.826998,31098.45193,2824.912096,54.3,2824,five,136,3.19,3.4,8,115,5500,18,22,19341.07219
6,2,std,two,sedan,fwd,front,-1673.295656,4844.424086,-5821.592292,53.1,2507,five,136,3.19,3.4,8.5,110,5500,19,25,9026.204356
7,1,std,four,sedan,fwd,front,12839.50252,9377.225121,12580.6158,55.7,2844,five,136,3.19,3.4,8.5,110,5500,19,25,21581.74686
8,1,std,four,wagon,fwd,front,6345.277833,7924.714108,1096.797074,55.7,2954,five,136,3.19,3.4,8.5,110,5500,19,25,34076.19597
9,1,turbo,four,sedan,fwd,front,-3549.995087,5503.83001,9605.777473,55.9,3086,five,131,3.13,3.4,8.3,140,5500,17,20,34738.36037
10,0,turbo,two,hatchback,4wd,front,4539.980349,-2243.953957,708.0478513,52,3053,five,131,3.13,3.4,7,160,5500,16,22,30704.66001
11,2,std,two,sedan,rwd,front,-3506.141542,6348.553764,16650.7834,54.3,2395,four,108,3.5,2.8,8.8,101,5800,23,29,12440.27459
12,0,std,four,sedan,rwd,front,-3524.638029,-5905.801716,14207.52674,54.3,2395,four,108,3.5,2.8,8.8,101,5800,23,29,9108.161438
13,0,std,two,sedan,rwd,front,2136.898173,-1617.748854,-1826.913188,54.3,2710,six,164,3.31,3.19,9,121,4250,21,28,20063.70464
14,0,std,four,sedan,rwd,front,-15105.04196,-3606.108383,7937.367608,54.3,2765,six,164,3.31,3.19,9,121,4250,21,28,21650.7993
15,1,std,four,sedan,rwd,front,-13595.84266,943.9931151,5329.907597,55.7,3055,six,164,3.31,3.19,9,121,4250,20,25,33418.53215
16,0,std,four,sedan,rwd,front,-4294.800234,18806.26853,11115.95246,55.7,3230,six,209,3.62,3.39,8,182,5400,16,22,17320.28296
17,0,std,two,sedan,rwd,front,-7899.148963,-14644.32154,-7551.487685,53.7,3380,six,209,3.62,3.39,8,182,5400,16,22,53651.40256
18,0,std,four,sedan,rwd,front,2723.978661,5787.081523,5659.31168,56.3,3505,six,209,3.62,3.39,8,182,5400,15,20,35715.93681
